"Region","Gender","Year","VerySatisfied","SlightlySatisfied","SatisfiedRate","Neutral","SlightlyDissatisfied","VeryDissatisfied","DissatisfiedRate","SatisfactionScore","SuicideRate"
"광주광역시","Male","2023","11.7","30.2","41.9","45.7","9.6","2.7","12.3","3.383","39.5"
"광주광역시","Male","2024","14","27.8","41.8","47.6","8.7","1.9","10.6","3.433","44.2"
"광주광역시","Female","2020","13.5","29.4","42.9","46","9.1","1.9","11","3.432","14.2"
"광주광역시","Female","2021","9","27.8","36.8","45.4","14.8","3","17.8","3.25","15.1"
"광주광역시","Female","2022","11.2","33.9","45.1","41.7","11.1","2","13.1","3.409","13"
"광주광역시","Female","2023","11.2","33","44.2","42.8","10.8","2.2","13","3.402","15.4"
"광주광역시","Female","2024","12.5","27.1","39.6","49.5","9.1","1.9","11","3.395","16"
"대전광역시","Total","2020","14.5","26.8","41.3","46","10.8","1.8","12.6","3.411","27.2"
"대전광역시","Total","2021","9.5","30.2","39.7","38.7","17.4","4.2","21.6","3.234","29.3"
"대전광역시","Total","2022","13.8","37.5","51.3","37.2","9.5","2","11.5","3.516","25.7"
"대전광역시","Total","2023","14.6","34.4","49","39.2","9.5","2.3","11.8","3.495","26.4"
"대전광역시","Total","2024","16","31.2","47.2","43.2","8.1","1.5","9.6","3.521","31.2"
"대전광역시","Male","2020","17","26.8","43.8","44","9.8","2.4","12.2","3.462","37.9"
"대전광역시","Male","2021","7.6","30.4","38","39.8","17.4","4.8","22.2","3.186","39.8"
"대전광역시","Male","2022","14.8","34.5","49.3","39.2","10","1.6","11.6","3.512","33.1"
"대전광역시","Male","2023","14.9","34.1","49","37.6","10.4","3","13.4","3.475","35"
"대전광역시","Male","2024","17.1","30.9","48","41.2","9.5","1.4","10.9","3.531","41.7"
"대전광역시","Female","2020","12.1","26.9","39","48","11.8","1.3","13.1","3.37","16.5"
"대전광역시","Female","2021","11.4","30","41.4","37.7","17.3","3.6","20.9","3.283","18.8"
"대전광역시","Female","2022","12.8","40.6","53.4","35.2","9","2.4","11.4","3.524","18.4"
"대전광역시","Female","2023","14.3","34.7","49","40.7","8.6","1.6","10.2","3.512","17.9"
"대전광역시","Female","2024","14.9","31.5","46.4","45.3","6.7","1.5","8.2","3.513","20.8"
"울산광역시","Total","2020","11.5","29.2","40.7","48.4","9.4","1.4","10.8","3.397","26.4"
"울산광역시","Total","2021","13.2","23.3","36.5","39.6","18.3","5.6","23.9","3.202","28.5"
"울산광역시","Total","2022","12.7","28.9","41.6","41.7","13.1","3.7","16.8","3.341","26.3"
"울산광역시","Total","2023","11","30.4","41.4","41.4","14","3.2","17.2","3.32","32.7"
"울산광역시","Total","2024","13.4","27.2","40.6","49.6","8.1","1.7","9.8","3.425","29.2"
"울산광역시","Male","2020","11.6","27.7","39.3","49.9","9.1","1.7","10.8","3.384","36.7"
"울산광역시","Male","2021","11.9","23.9","35.8","38.4","19.7","6","25.7","3.157","40.7"
"울산광역시","Male","2022","12.3","28.9","41.2","40.8","14","4.1","18.1","3.316","36.1"
"울산광역시","Male","2023","9.8","34.6","44.4","38.2","13.9","3.5","17.4","3.333","46.8"
"울산광역시","Male","2024","14.7","25.8","40.5","49.9","7.9","1.7","9.6","3.439","41.1"
"울산광역시","Female","2020","11.5","30.9","42.4","46.8","9.8","1.1","10.9","3.422","15.6"
"울산광역시","Female","2021","14.6","22.6","37.2","40.8","16.7","5.3","22","3.245","15.5"
"울산광역시","Female","2022","13.1","29","42.1","42.7","12.1","3.2","15.3","3.37","16.1"
"울산광역시","Female","2023","12.3","25.8","38.1","44.8","14.1","3","17.1","3.303","17.9"
"울산광역시","Female","2024","12.1","28.7","40.8","49.2","8.4","1.7","10.1","3.414","16.7"
"세종특별자치시","Total","2020","25.2","33.5","58.7","33","6.8","1.6","8.4","3.742","18.4"
"세종특별자치시","Total","2021","16","30.1","46.1","34.8","15","4.1","19.1","3.389","19"
"세종특별자치시","Total","2022","17.9","34.9","52.8","36.5","9.3","1.4","10.7","3.586","23.3"
